"GroupID","Hostname","Configuration","Title"
"V-26549","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-26550","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-26551","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-26552","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-78061","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-78063","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-26553","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-26555","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-26557","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-26558","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-36722","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-36723","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-36724","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-57721","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-15696","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-15697","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-15666","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-15667","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-26575","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-26576","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-26577","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-26578","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-15698","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-15699","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-15700","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-36679","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-4448","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-3469","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-36680","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-14260","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-15674","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
